PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,HitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID
21,3/6/21,1:12:08 PM,2,2,"Bogart, Austin",1000001253,Left,NOF_OSP,"King, Riley",10000432,Right,GEO_BUL,Windup,1,Bottom,1,0,1,Fastball,Undefined,FoulBall,Undefined,Undefined,Undefined,0,0,,86.98187865,-2.1092449,3.097722734,2084.001801,137.7103453,10:30,5.38653895,-2.47940939,5.403075053,-20.25794694,17.52027393,-15.96874987,1.71849176,-0.905128496,79.08735944,-5.882436565,0.113262533,0.442376725,65.32819388,26.88197674,135.1086336,3402.428208,,,,,,,,9.383064661,9.917155396,2.214630644,50,5.184651795,-6.28397265,-126.2177964,-5.348944957,15.05774031,26.93841604,-16.25921092,GEO_BUL,NOF_OSP,UGeorgia,D1,SEC,20210306-UGeorgia-1,76dad1eb-7ea7-11eb-ae7a-181deafaf045
22,3/6/21,1:12:30 PM,2,3,"Bogart, Austin",1000001253,Left,NOF_OSP,"King, Riley",10000432,Right,GEO_BUL,Windup,1,Bottom,1,0,2,Fastball,Undefined,InPlay,Undefined,GroundBall,Out,1,0,,88.02391562,-0.978959545,3.176585302,2167.087006,145.0824056,10:45,5.463816717,-2.327750898,5.676483165,-16.78952228,19.42355156,-13.58269451,3.150705459,-0.495699538,80.48068308,-4.117559641,0.63603975,0.433115986,98.06728398,0.294033571,8.226457993,1774.905187,,,,54.69809646,52.94133971,10.18116831,0.394204712,8.125745591,10.65452358,2.068633086,50,5.370768854,-6.646016089,-127.9170203,-2.749396936,13.49753649,25.76252434,-14.47600236,GEO_BUL,NOF_OSP,UGeorgia,D1,SEC,20210306-UGeorgia-1,7fcd802a-7ea7-11eb-ae7a-181deafaf045
23,3/6/21,1:13:04 PM,3,1,"Bogart, Austin",1000001253,Left,NOF_OSP,"Collins, Corey",1000013088,Left,GEO_BUL,Windup,1,Bottom,2,0,0,Fastball,Undefined,StrikeCalled,Undefined,Undefined,Undefined,0,0,,87.73023379,-2.295464006,4.357119697,2156.311886,128.7634735,10:15,5.403258687,-2.490741753,5.625965601,-21.20921462,15.43455522,-19.26470305,1.486833671,-0.023152734,80.38844735,-6.244586559,0.762528394,0.43568398,,,,,,,,,,,,11.45289105,8.85584908,2.131782934,50,5.193814608,-9.048876301,-127.2326278,-5.825385701,18.83907232,25.25471178,-17.60689861,GEO_BUL,NOF_OSP,UGeorgia,D1,SEC,20210306-UGeorgia-1,98481448-7ea7-11eb-ae7a-181deafaf045
24,3/6/21,1:13:19 PM,3,2,"Bogart, Austin",1000001253,Left,NOF_OSP,"Collins, Corey",1000013088,Left,GEO_BUL,Windup,1,Bottom,2,0,1,Fastball,Undefined,StrikeCalled,Undefined,Undefined,Undefined,0,0,,88.49759063,-1.934056759,4.330104368,2231.719877,139.6671256,10:45,5.38819665,-2.524391026,5.717480103,-16.50911429,19.493624,-16.57977456,2.205237691,0.134662358,80.63848819,-5.025482343,1.225682626,0.431856325,,,,,,,,,,,,10.10476343,10.99455351,2.172560834,50,5.216122662,-9.169384072,-128.3586504,-4.894319412,16.84417375,26.7775732,-13.84663585,GEO_BUL,NOF_OSP,UGeorgia,D1,SEC,20210306-UGeorgia-1,a1680b20-7ea7-11eb-ae7a-181deafaf045
25,3/6/21,1:13:38 PM,3,3,"Bogart, Austin",1000001253,Left,NOF_OSP,"Collins, Corey",1000013088,Left,GEO_BUL,Windup,1,Bottom,2,0,2,Fastball,Undefined,BallCalled,Undefined,Undefined,Undefined,0,0,,87.93670858,-2.284585567,5.58009207,2192.956147,135.8445842,10:30,5.40104858,-2.408118689,5.803358484,-17.81482202,18.39258916,-17.89123989,1.780822762,1.30627735,80.75558124,-5.609370779,2.247330348,0.433082121,,,,,,,,,,,,11.02747195,10.45483029,1.960108224,50,5.202155167,-11.86022282,-127.3719511,-5.687189543,18.26174592,24.19158458,-14.86061032,GEO_BUL,NOF_OSP,UGeorgia,D1,SEC,20210306-UGeorgia-1,ac67200f-7ea7-11eb-ae7a-181deafaf045
26,3/6/21,1:13:54 PM,3,4,"Bogart, Austin",1000001253,Left,NOF_OSP,"Collins, Corey",1000013088,Left,GEO_BUL,Windup,1,Bottom,2,1,2,Slider,Undefined,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,80.02263666,-1.520996745,3.50446543,,39.74762221,7:15,5.287971575,-2.575361937,5.407645815,-48.82402916,-5.139757503,-4.240173195,-0.208564865,0.358356863,75.34446081,-10.42404291,2.722718258,0.475701004,,,,,,,,,,,,3.02540142,-2.369389196,2.266550969,50,5.118326292,-6.987437699,-116.3220493,-4.663004916,4.223279569,17.96734532,-35.48157427,GEO_BUL,NOF_OSP,UGeorgia,D1,SEC,20210306-UGeorgia-1,b57d8ddd-7ea7-11eb-ae7a-181deafaf045
27,3/6/21,1:16:17 PM,1,1,"Webb, Ryan",1000027901,Left,GEO_BUL,"Clark, Tanner",1000056985,Left,NOF_OSP,Windup,2,Top,0,0,0,Fastball,Undefined,InPlay,Undefined,LineDrive,Single,0,0,,92.12640462,-3.231404799,3.85406927,2382.844096,140.1060402,10:45,6.165788638,-2.159610838,5.680127371,-14.18504738,19.05178578,-15.9524767,1.961873068,0.108588651,84.17933689,-5.879190351,0.870166556,0.414936211,96.13160506,13.48173287,19.50394316,1313.62489,101.5611451,13.54642908,42.25311606,182.0924781,182.0924781,24.80452729,1.594204102,9.595287299,11.08428067,1.844963523,50,5.88425463,-8.443847854,-133.5769049,-8.05210494,17.35808475,28.43651055,-12.1223422,GEO_BUL,NOF_OSP,UGeorgia,D1,SEC,20210306-UGeorgia-1,0cc10022-7ea8-11eb-ae7a-181deafaf045
28,3/6/21,1:16:55 PM,2,1,"Webb, Ryan",1000027901,Left,GEO_BUL,"Spratling-Williams, Trey",1000052361,Left,NOF_OSP,Windup,2,Top,0,0,0,Fastball,Undefined,StrikeCalled,Undefined,Undefined,Undefined,0,0,,91.39411948,-3.266545223,3.638918583,2328.081677,141.0994945,10:45,6.0326646,-2.200963462,5.653251178,-15.24584977,18.51388037,-14.96470071,1.706630569,-0.050129102,83.64404707,-6.107129565,0.842065002,0.418187456,,,,,,,,,,,,8.986209069,10.78349608,1.902264981,50,5.745921141,-7.910219195,-132.5479165,-8.109440093,16.02416909,27.71144143,-12.94496505,GEO_BUL,NOF_OSP,UGeorgia,D1,SEC,20210306-UGeorgia-1,20dda98a-7ea8-11eb-ae7a-181deafaf045
29,3/6/21,1:17:15 PM,2,2,"Webb, Ryan",1000027901,Left,GEO_BUL,"Spratling-Williams, Trey",1000052361,Left,NOF_OSP,Windup,2,Top,0,0,1,Curveball,Undefined,BallCalled,Undefined,Undefined,Undefined,0,0,,77.27643283,-0.009857557,2.851412179,2719.683365,11.71780478,6:30,5.866415451,-2.391134803,5.38132177,-68.60302433,-20.18917895,-4.178079816,0.140246262,-0.064600237,70.8241077,-12.70701522,2.066132836,0.500790761,,,,,,,,,,,,3.17357971,-10.73986669,2.139113536,50,5.818497919,-5.458111714,-112.1160412,-2.090264589,3.963441257,23.82854801,-45.58692444,GEO_BUL,NOF_OSP,UGeorgia,D1,SEC,20210306-UGeorgia-1,29d0567f-7ea8-11eb-ae7a-181deafaf045
30,3/6/21,1:17:50 PM,2,3,"Webb, Ryan",1000027901,Left,GEO_BUL,"Spratling-Williams, Trey",1000052361,Left,NOF_OSP,Windup,2,Top,0,1,1,Curveball,Undefined,BallCalled,Undefined,Undefined,Undefined,0,0,,77.71053435,0.011221851,2.466508714,2691.631682,356.1852173,5:45,5.889403415,-2.190031093,5.549174086,-68.06125005,-20.35751666,1.354429704,0.228127157,0.228783649,71.01119034,-12.64496827,2.722299197,0.49710451,,,,,,,,,,,,0.125206608,-10.91190806,1.975956396,50,5.846592364,-4.898096131,-112.7838398,-1.982760035,0.15760096,24.86583628,-45.90916369,GEO_BUL,NOF_OSP,UGeorgia,D1,SEC,20210306-UGeorgia-1,42bd54d1-7ea8-11eb-ae7a-181deafaf045
