PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,HitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID
21,3/13/21,1:12:44 PM,3,6,"Habegger, Max",1000026996,Left,LIP_BIS,"Collins, Corey",1000013088,Left,GEO_BUL,Undefined,1,Bottom,2,3,2,Fastball,Undefined,StrikeCalled,Strikeout,Undefined,Undefined,0,0,,85.67977886,-2.084810146,4.700904301,2183.488169,132.3148707,10:30,5.733442108,-2.814721837,5.724811151,-22.87987558,15.36430408,-16.91584514,1.877872994,0.163236485,78.64542321,-6.347813378,1.544205028,0.445096514,,,,,,,,,,,,10.29974433,8.77872959,2.432586624,50,5.544967036,-9.672376855,-124.249785,-5.275181016,16.18194572,23.72576697,-18.38177167,GEO_BUL,LIP_BIS,UGeorgia,D1,SEC,20210313-UGeorgia-1,b028b22e-8427-11eb-ae82-181deafaf045
22,3/13/21,1:14:57 PM,1,1,"Webb, Ryan",1000027901,Left,GEO_BUL,"Williams, Malik",1000079345,Right,LIP_BIS,Undefined,2,Top,0,0,0,Fastball,Undefined,BallCalled,Undefined,Undefined,Undefined,0,0,,90.37196661,-3.201119424,0.651954075,2403.910549,160.3837879,11:15,6.168393171,-1.984165355,5.554296125,-12.03639285,22.66671396,-8.090110323,2.171451022,-2.049236161,82.31134353,-5.443572618,-0.864274388,0.423990081,,,,,,,,,,,,4.502571061,13.01216205,1.9331801,50,5.883988464,-1.212170672,-131.2537459,-7.759930795,7.827016775,28.69168001,-9.554436508,GEO_BUL,LIP_BIS,UGeorgia,D1,SEC,20210313-UGeorgia-1,024d258b-8428-11eb-ae82-181deafaf045
23,3/13/21,1:15:12 PM,1,2,"Webb, Ryan",1000027901,Left,GEO_BUL,"Williams, Malik",1000079345,Right,LIP_BIS,Undefined,2,Top,0,1,0,Fastball,Undefined,BallCalled,Undefined,Undefined,Undefined,0,0,,91.14864246,-4.24608993,0.81769875,2416.647939,158.4039916,11:15,6.049364344,-2.037879161,5.598242327,-11.39508292,22.76557816,-9.024409545,1.128505658,-2.026565287,83.00710083,-6.36542703,-0.875521942,0.420663326,,,,,,,,,,,,5.058639617,13.39693062,1.97372714,50,5.678183607,-1.573417103,-132.2226926,-10.21391792,8.917768097,29.29919547,-8.556884754,GEO_BUL,LIP_BIS,UGeorgia,D1,SEC,20210313-UGeorgia-1,0b3fd286-8428-11eb-ae82-181deafaf045
24,3/13/21,1:15:27 PM,1,3,"Webb, Ryan",1000027901,Left,GEO_BUL,"Williams, Malik",1000079345,Right,LIP_BIS,Undefined,2,Top,0,2,0,Fastball,Undefined,BallCalled,Undefined,Undefined,Undefined,0,0,,90.98213783,-0.31978023,0.470175696,2384.689621,160.7875955,11:15,6.045160574,-2.00238346,5.600279974,-18.62408166,15.32477547,-5.351495189,4.19464716,-2.009453973,83.11702596,-3.800754491,-0.531679068,0.419357194,,,,,,,,,,,,2.986075435,8.267076125,1.96562959,50,6.005833591,-0.899573951,-132.396691,-1.389454457,5.302680981,28.14375192,-17.49335201,GEO_BUL,LIP_BIS,UGeorgia,D1,SEC,20210313-UGeorgia-1,14327f86-8428-11eb-ae82-181deafaf045
25,3/13/21,1:15:50 PM,1,4,"Webb, Ryan",1000027901,Left,GEO_BUL,"Williams, Malik",1000079345,Right,LIP_BIS,Undefined,2,Top,0,3,0,Fastball,Undefined,BallCalled,Walk,Undefined,Undefined,0,0,,90.98382777,-1.229176952,2.071719977,2300.862089,206.3805724,1:00,6.117895488,-1.805714864,5.968450945,-12.22264272,21.37981805,10.61966957,3.958965651,1.000594606,83.06166233,-3.523367519,4.069828195,0.417212258,,,,,,,,,,,,-5.156877165,11.91970199,1.635922663,50,6.013821959,-5.134103947,-132.3409777,-3.240561916,-9.124476705,28.85378358,-11.08356304,GEO_BUL,LIP_BIS,UGeorgia,D1,SEC,20210313-UGeorgia-1,248e8b9c-8428-11eb-ae82-181deafaf045
26,3/13/21,1:16:31 PM,2,1,"Webb, Ryan",1000027901,Left,GEO_BUL,"Bertolani, Chaz",1000079324,Right,LIP_BIS,Undefined,2,Top,0,0,0,Fastball,Undefined,StrikeCalled,Undefined,Undefined,Undefined,0,0,,90.74815144,-2.482767318,2.408459554,2243.271043,171.4343714,11:45,6.19677631,-2.030698263,5.851011841,-11.22762154,22.90426626,-3.454725162,2.951023279,-0.07967689,82.3484887,-4.593442047,1.757327834,0.420486128,,,,,,,,,,,,2.580435985,13.09528786,1.837222465,50,5.988547537,-5.429553802,-131.8090003,-6.091952471,4.509072659,29.77898955,-9.291247051,GEO_BUL,LIP_BIS,UGeorgia,D1,SEC,20210313-UGeorgia-1,37fd3264-8428-11eb-ae82-181deafaf045
27,3/13/21,1:16:55 PM,2,2,"Webb, Ryan",1000027901,Left,GEO_BUL,"Bertolani, Chaz",1000079324,Right,LIP_BIS,Undefined,2,Top,0,0,1,ChangeUp,Undefined,InPlay,Undefined,Bunt,Sacrifice,1,0,,83.76018153,-1.71208561,3.774973059,1511.935634,116.6203747,10:00,5.789144197,-2.398570102,6.025366518,-27.4720328,12.04980247,-24.11568167,1.91047256,-0.907465522,76.91633386,-6.859772261,-0.764045873,0.452470292,,,,,,,,,,,,14.08313961,6.990205339,2.116588097,50,5.640133515,-7.30894498,-121.6740691,-4.464159507,21.16826157,23.28084833,-21.66712331,GEO_BUL,LIP_BIS,UGeorgia,D1,SEC,20210313-UGeorgia-1,49e28c55-8428-11eb-ae82-181deafaf045
28,3/13/21,1:17:39 PM,3,1,"Webb, Ryan",1000027901,Left,GEO_BUL,"Houghton, Maddux",1000026990,Right,LIP_BIS,Undefined,2,Top,1,0,0,Curveball,Undefined,BallCalled,Undefined,Undefined,Undefined,0,0,,76.8114691,0.678332129,2.472764161,2690.374144,337.3136798,5:15,5.864229509,-1.996953383,5.620948976,-65.27075264,-16.72371352,6.971908833,1.058552607,0.892740536,70.19427818,-11.48551062,3.787551639,0.501479163,,,,,,,,,,,,-2.913893056,-9.203358921,1.781928363,50,5.881031436,-5.016838063,-111.5130498,-0.561943275,-3.598002485,23.67871623,-43.53812666,GEO_BUL,LIP_BIS,UGeorgia,D1,SEC,20210313-UGeorgia-1,64ba94b5-8428-11eb-ae82-181deafaf045
29,3/13/21,1:18:05 PM,3,2,"Webb, Ryan",1000027901,Left,GEO_BUL,"Houghton, Maddux",1000026990,Right,LIP_BIS,Undefined,2,Top,1,1,0,ChangeUp,Undefined,StrikeCalled,Undefined,Undefined,Undefined,0,0,,83.16557682,-1.514163879,2.840052431,1602.98118,161.3388692,11:30,5.830169574,-2.067276873,6.114527317,-24.40229538,15.45234348,-5.231303909,2.394816572,0.124442212,76.40075581,-6.095308019,1.854474136,0.454371369,,,,,,,,,,,,3.607970267,8.803930179,1.852536928,50,5.701285735,-5.847909536,-120.9553317,-3.912783368,5.360955687,22.93545965,-19.09259941,GEO_BUL,LIP_BIS,UGeorgia,D1,SEC,20210313-UGeorgia-1,74e6f445-8428-11eb-ae82-181deafaf045
30,3/13/21,1:18:28 PM,3,3,"Webb, Ryan",1000027901,Left,GEO_BUL,"Houghton, Maddux",1000026990,Right,LIP_BIS,Undefined,2,Top,1,1,1,Curveball,Undefined,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,76.7761442,1.814634436,1.17651738,2646.824808,329.3026738,5:00,5.9512772,-1.935780576,5.690841962,-65.09437616,-16.56140808,9.805307872,2.218639817,-0.022176788,69.72330762,-10.39680028,3.033070297,0.501406482,,,,,,,,,,,,-4.876960446,-9.536399226,1.831052706,50,6.063877051,-2.568696562,-111.490336,1.680642879,-6.005311957,24.09986124,-43.91682419,GEO_BUL,LIP_BIS,UGeorgia,D1,SEC,20210313-UGeorgia-1,7f929b70-8428-11eb-ae82-181deafaf045
