PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,HitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID
21,3/23/21,5:11:37 PM,6,2,"Goldstein, Charlie",1000051331,Left,GEO_BUL,"McPhee, Skylar",1000057272,Right,KEN_OWL,Stretch,1,Top,2,1,0,ChangeUp,Undefined,BallCalled,Undefined,Undefined,Undefined,0,0,,82.11419541,-3.352909362,1.183486952,1731.301885,138.6279505,10:30,6.101744244,-0.761512283,4.9721896,-24.29553236,18.32532361,-16.17535943,0.906348588,-0.991620324,75.81404472,-7.789330568,-1.801147916,0.469875285,,,,,,,,,,,,8.734641281,10.41721724,0.660354314,50,5.758350862,-1.899012787,-119.2110796,-7.832343228,12.65418198,21.47128583,-17.08225963,GEO_BUL,KEN_OWL,UGeorgia,D1,SEC,20210323-UGeorgia-1,58c3b8ed-8c1c-11eb-ae8c-181deafaf045
22,3/23/21,5:12:00 PM,6,3,"Goldstein, Charlie",1000051331,Left,GEO_BUL,"McPhee, Skylar",1000057272,Right,KEN_OWL,Stretch,1,Top,2,2,0,ChangeUp,Undefined,StrikeCalled,Undefined,Undefined,Undefined,0,0,,81.30584667,-1.219113242,1.706792057,1796.769017,158.9194154,11:15,6.068453882,-0.794929228,5.16844964,-23.16383849,19.94099126,-7.702448532,2.990302641,0.169715386,74.67600987,-5.496646368,0.279519336,0.472535548,,,,,,,,,,,,4.493415082,10.78941624,0.641895888,50,5.937534835,-3.264040822,-118.2041295,-3.293084775,6.389195373,21.47730974,-16.83255727,GEO_BUL,KEN_OWL,UGeorgia,D1,SEC,20210323-UGeorgia-1,6871c395-8c1c-11eb-ae8c-181deafaf045
23,3/23/21,5:12:21 PM,6,4,"Goldstein, Charlie",1000051331,Left,GEO_BUL,"McPhee, Skylar",1000057272,Right,KEN_OWL,Stretch,1,Top,2,2,1,Curveball,Undefined,StrikeCalled,Undefined,Undefined,Undefined,0,0,,75.53401535,1.177194434,0.357183794,2440.601785,308.0351063,4:15,6.052247864,-0.702865429,4.649899203,-57.38572882,-6.333696708,8.035171531,2.388641645,0.306068484,69.77083347,-9.292737175,1.834795098,0.514254422,,,,,,,,,,,,-4.04744065,-3.588448227,0.659277449,50,6.121545932,-0.952801394,-109.7444717,0.336571105,-4.944864661,19.09925699,-36.55815011,GEO_BUL,KEN_OWL,UGeorgia,D1,SEC,20210323-UGeorgia-1,739bc022-8c1c-11eb-ae8c-181deafaf045
24,3/23/21,5:12:39 PM,6,5,"Goldstein, Charlie",1000051331,Left,GEO_BUL,"McPhee, Skylar",1000057272,Right,KEN_OWL,Stretch,1,Top,2,2,2,Fastball,Undefined,InPlay,Undefined,LineDrive,Single,0,0,,88.81602867,-2.301140176,2.470244258,2235.308322,131.1357918,10:15,6.021758444,-0.673697107,4.935868506,-19.2041507,17.27367309,-19.8154973,2.2435739,0.010912138,81.63284897,-5.825741519,-1.18346094,0.434696335,105.5481306,9.712478831,-25.00827472,1914.244932,97.86102899,9.504795989,-50.2314851,179.2444045,179.2444045,-29.52720177,1.374797363,10.95412427,9.587862936,0.449838204,50,5.78238355,-4.812407683,-128.9551014,-5.914395052,18.56462081,25.19717401,-15.92491394,GEO_BUL,KEN_OWL,UGeorgia,D1,SEC,20210323-UGeorgia-1,7c8e6c4b-8c1c-11eb-ae8c-181deafaf045
25,3/23/21,5:16:59 PM,7,1,"Wagner, Luke A.",691022,Left,GEO_BUL,"Simon, Tyler",1000025162,Right,KEN_OWL,Stretch,1,Top,2,0,0,Fastball,Undefined,InPlay,Undefined,FlyBall,Out,1,0,,89.51263713,-2.184156962,2.99555569,2209.491431,134.1500361,10:30,5.697494903,-1.35453945,5.441883694,-17.57297895,17.77922571,-18.3489466,2.18448707,-0.076628064,81.97347864,-5.448078759,-0.422885562,0.427936933,84.34617497,36.81597062,-19.06661191,3768.196251,105.3055421,76.64054097,-31.7920563,269.7222549,183.6533548,-12.75950252,5.054511108,10.53843096,10.01817035,1.102452822,50,5.492359445,-6.15499005,-129.9846868,-5.584038642,18.08475959,26.47390869,-14.98209625,GEO_BUL,KEN_OWL,UGeorgia,D1,SEC,20210323-UGeorgia-1,1d1dd1e6-8c1d-11eb-ae8c-181deafaf045
26,3/23/21,5:20:05 PM,1,1,"Kennedy, Ryan",1000025174,Left,KEN_OWL,"McAllister, Joshua",1000073631,Right,GEO_BUL,Windup,1,Bottom,0,0,0,Fastball,Undefined,StrikeCalled,Undefined,Undefined,Undefined,0,0,,87.84424824,-1.994515925,4.078346954,2046.040449,145.1227776,10:45,5.905564864,-2.521939863,5.621693343,-19.84105515,16.86114946,-11.77659134,2.385663281,0.308457299,80.06075406,-5.699386495,1.876027557,0.436031228,,,,,,,,,,,,7.455964297,9.580447601,2.181704922,50,5.722651238,-8.691247219,-127.4150888,-5.111588525,12.22946833,26.72921447,-16.45994695,GEO_BUL,KEN_OWL,UGeorgia,D1,SEC,20210323-UGeorgia-1,88fe9829-8c1d-11eb-ae8c-181deafaf045
27,3/23/21,5:20:17 PM,1,2,"Kennedy, Ryan",1000025174,Left,KEN_OWL,"McAllister, Joshua",1000073631,Right,GEO_BUL,Windup,1,Bottom,0,0,1,ChangeUp,Undefined,FoulBall,Undefined,Undefined,Undefined,0,0,,82.00846844,-1.127521896,2.392853028,1864.238292,151.7947894,11:00,6.126101863,-2.440481783,5.657811072,-22.52466908,19.49413288,-10.47613312,3.196658607,-1.081029207,74.55604112,-5.347678696,0.424668825,0.466544798,,,,,,,,,,,,6.318228888,10.7749817,2.244756397,50,6.016628746,-4.655411439,-119.1727433,-3.045284139,9.032055152,24.17991388,-16.7709616,GEO_BUL,KEN_OWL,UGeorgia,D1,SEC,20210323-UGeorgia-1,911abe81-8c1d-11eb-ae8c-181deafaf045
28,3/23/21,5:20:36 PM,1,3,"Kennedy, Ryan",1000025174,Left,KEN_OWL,"McAllister, Joshua",1000073631,Right,GEO_BUL,Windup,1,Bottom,0,0,2,Curveball,Undefined,FoulBall,Undefined,Undefined,Undefined,0,0,,73.97592968,0.474239239,1.885381468,2658.768862,271.8423898,3:00,6.133245611,-2.280734754,4.907950561,-53.12598734,-0.396705276,10.79147899,2.154734171,0.40185825,68.45848596,-9.240404777,3.874317621,0.522633745,,,,,,,,,,,,-5.103630438,-0.335717245,2.087868754,50,6.136082444,-3.879288701,-107.4884136,-0.788469158,-5.98259651,18.29047414,-32.56758426,GEO_BUL,KEN_OWL,UGeorgia,D1,SEC,20210323-UGeorgia-1,9ae3f07e-8c1d-11eb-ae8c-181deafaf045
29,3/23/21,5:20:58 PM,1,4,"Kennedy, Ryan",1000025174,Left,KEN_OWL,"McAllister, Joshua",1000073631,Right,GEO_BUL,Windup,1,Bottom,0,0,2,Fastball,Undefined,InPlay,Undefined,FlyBall,Single,0,0,,88.2644606,-1.122055798,3.579075323,2154.587593,160.5381087,11:15,6.031396446,-2.459912569,5.506086455,-18.34021305,17.9910737,-6.36958065,3.451651872,0.360360303,80.65311416,-4.537436378,2.392311697,0.433822336,68.67588777,28.4997375,-13.8236353,2741.416964,107.8255691,44.25528884,-21.76166598,236.3563133,236.3563133,-8.826852073,3.765961914,4.370821044,9.876120042,2.151879242,50,5.921192454,-7.79736081,-128.1612517,-3.145289953,7.278545717,26.18483478,-15.72775837,GEO_BUL,KEN_OWL,UGeorgia,D1,SEC,20210323-UGeorgia-1,ac11bea5-8c1d-11eb-ae8c-181deafaf045
30,3/23/21,5:21:40 PM,2,1,"Kennedy, Ryan",1000025174,Left,KEN_OWL,"Marshall, Shane",1000013485,Right,GEO_BUL,Stretch,1,Bottom,0,0,0,Fastball,Undefined,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,86.76699569,-1.134800329,2.750068704,1939.402532,165.3666332,11:30,5.974440452,-2.33603082,5.784924448,-19.61126599,17.45361603,-4.566281258,3.283209821,-0.156445279,79.53537133,-4.801073732,1.89493968,0.438180281,,,,,,,,,,,,3.191009532,9.675548686,2.112351643,50,5.869163085,-5.912496218,-126.1600684,-3.135667133,5.15948699,24.89331552,-16.52982466,GEO_BUL,KEN_OWL,UGeorgia,D1,SEC,20210323-UGeorgia-1,beaea150-8c1d-11eb-ae8c-181deafaf045
